Country,City,AQI Category,CO AQI Value,Ozone AQI Value,NO2 AQI Value,PM2.5 AQI Value,SO2,Continent
Russian Federation,Praskoveya,Moderate,1,36,0,51,1,Europe
Brazil,Presidente Dutra,Good,1,5,1,41,1,South America
Brazil,Presidente Dutra,Good,1,5,1,41,0,South America
Italy,Priolo Gargallo,Moderate,1,39,2,66,1,Europe
Poland,Przasnysz,Good,1,34,0,20,1,Europe
United States of America,Punta Gorda,Moderate,1,14,11,54,0,North America
United States of America,Punta Gorda,Moderate,1,14,11,54,0,North America
Belgium,Puurs,Moderate,1,29,7,64,4,Europe
Russian Federation,Pyatigorsk,Moderate,1,41,1,54,1,Europe
China,Qinzhou,Moderate,2,68,1,58,5,Asia
Netherlands,Raalte,Good,1,24,6,41,1,Europe
France,Raismes,Moderate,1,30,4,59,2,Europe
Italy,Ramacca,Moderate,1,47,0,55,1,Europe
United States of America,Phoenix,Moderate,1,4,23,72,2,North America
Poland,Piaseczno,Good,1,28,2,28,2,Europe
Brazil,Pinheiral,Unhealthy,5,0,13,154,7,South America
Colombia,Plato,Moderate,1,16,2,67,0,South America
Romania,Poiana Mare,Moderate,1,37,1,62,3,Europe
Russian Federation,Polevskoy,Good,1,31,0,17,0,Europe
France,Pontarlier,Moderate,1,35,0,56,0,Europe
United States of America,Pontiac,Moderate,2,22,15,77,2,North America
United States of America,Pontiac,Moderate,2,22,15,77,2,North America
Indonesia,Pontianak,Good,1,15,0,44,1,Asia
Brazil,Porecatu,Good,1,9,2,30,1,South America
Finland,Pori,Good,1,30,1,15,1,Europe
South Africa,Port Elizabeth,Moderate,3,18,5,79,3,Africa
United States of America,Port Neches,Good,1,19,7,34,3,North America
United Kingdom of Great Britain and Northern Ireland,Port Talbot,Moderate,1,20,5,51,1,Europe
United States of America,Portales,Moderate,1,34,0,77,1,North America
United States of America,Post Falls,Moderate,1,32,3,61,1,North America
Brazil,Pouso Alegre,Good,1,7,2,32,1,South America
Russian Federation,Dalnegorsk,Good,0,29,0,25,2,Europe
India,Darbhanga,Unhealthy,3,162,1,247,5,Asia
United States of America,Dayton,Good,1,32,7,45,3,North America
United States of America,Dayton,Good,1,32,7,45,3,North America
United States of America,Dayton,Good,1,32,7,45,3,North America
Belgium,Deinze,Good,1,25,3,36,1,Europe
Haiti,Delmas,Unhealthy,2,15,5,124,2,North America
United States of America,Deming,Moderate,1,26,2,72,1,North America
United Kingdom of Great Britain and Northern Ireland,Denton,Moderate,0,32,1,55,2,Europe
United Kingdom of Great Britain and Northern Ireland,Denton,Moderate,0,32,1,55,2,Europe
United States of America,Destin,Good,0,31,0,25,2,North America
India,Dharmapuri,Moderate,1,31,1,60,3,Asia
Philippines,Dipolog,Good,1,17,0,30,0,Asia
Latvia,Dobele,Good,1,34,0,44,1,Europe
United States of America,Grandville,Good,1,37,4,47,1,North America
Netherlands,Grave,Good,0,32,2,37,1,Europe
United States of America,Green Valley,Good,1,14,8,44,6,North America
